Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Etsy link (product.metafields.custom.etsy_link),Introductory sentence (product.metafields.custom.introductory_sentence),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Artwork authenticity (product.metafields.shopify.artwork-authenticity),Artwork frame material (product.metafields.shopify.artwork-frame-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Frame style (product.metafields.shopify.frame-style),Neckline (product.metafields.shopify.neckline),Painting medium (product.metafields.shopify.painting-medium),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
art-from-the-heart-t-shirt-monet-colourway,,,,,,,,,Aloe,,,Large,,,,,STTU169-ALO-L,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,
art-from-the-heart-t-shirt-monet-colourway,,,,,,,,,Aloe,,,X-Large,,,,,STTU169-ALO-XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,
art-from-the-heart-t-shirt-monet-colourway,,,,,,,,,Aloe,,,2X-Large,,,,,STTU169-ALO-2XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,
art-from-the-heart-t-shirt-monet-colourway,,,,,,,,,Aloe,,,3X-Large,,,,,STTU169-ALO-3XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-74227c267e1b6c289bc996bac1e3bb24.png?v=1771844071,g,,13.13,
art-from-the-heart-t-shirt-van-gogh-colourway,Art From The Heart T-Shirt - Van Gogh Colours,"<p data-path-to-node=""11"">This 'Art From The Heart' t-shirt in the Van Gogh colourway is a tribute to Post-Impressionism. I have chosen the 'Mindful Blue' coloured t-shirt for this design to provide a deep, contemplative backdrop that mimics a swirling twilight sky.</p>
<p data-path-to-node=""12"">The design uses a high-contrast palette of vibrant oranges and deep blues, inspired by the complementary colours Van Gogh used to create emotional intensity. This combination is legendary in the art world for its raw energy and its ability to make the ""heart"" of the painting practically vibrate with life against the darkness.</p>
<p data-path-to-node=""13"">Whether it’s a thoughtful gift for the artist in your life or a well-deserved treat for yourself, this piece is designed for those who find beauty in the process, the palette, and the history of the craft.</p>",Georgina Westley Art & Design,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Product Type,"",true,Colour,Mindful Blue,,Size,X-Small,,,,,STTU169-MIBL-XS,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Van_Gogh_Square.png?v=1771844112,1,"",false,,,212,,adult,,,,,,,,,,,,,,adults,,,,mindful-blue,cotton,,round,,,short,unisex,,medium,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,active
art-from-the-heart-t-shirt-van-gogh-colourway,,,,,,,,,Mindful Blue,,,Small,,,,,STTU169-MIBL-S,100.0,,continue,manual,25.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,2,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,
art-from-the-heart-t-shirt-van-gogh-colourway,,,,,,,,,Mindful Blue,,,Medium,,,,,STTU169-MIBL-M,100.0,,continue,manual,25.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,
art-from-the-heart-t-shirt-van-gogh-colourway,,,,,,,,,Mindful Blue,,,Large,,,,,STTU169-MIBL-L,100.0,,continue,manual,25.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,
art-from-the-heart-t-shirt-van-gogh-colourway,,,,,,,,,Mindful Blue,,,X-Large,,,,,STTU169-MIBL-XL,100.0,,continue,manual,25.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,
art-from-the-heart-t-shirt-van-gogh-colourway,,,,,,,,,Mindful Blue,,,3X-Large,,,,,STTU169-MIBL-3XL,100.0,,continue,manual,25.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,
art-from-the-heart-t-shirt-van-gogh-colourway,,,,,,,,,Mindful Blue,,,2X-Large,,,,,STTU169-MIBL-2XL,100.0,,continue,manual,25.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-e39032c864405881062e74f3b5882c81.png?v=1771844112,g,,13.13,
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,Art From The Heart T-Shirt - Zorn Palette Colours,"<p data-path-to-node=""4"">This 'Art From The Heart' t-shirt in the Zorn Palette colourway is a tribute to the Old Masters. I have chosen the 'Honey Paper' coloured t-shirt for this design to mimic vintage parchment.</p>
<p data-path-to-node=""5"">The design uses the celebrated Zorn Palette—a restricted selection of just four pigments (Yellow Ochre, Vermilion, Ivory Black, and White). Named after the Swedish painter Anders Zorn, this palette is legendary in the art world for its ability to create a natural, sophisticated harmony, especially useful in portraiture.</p>
<p data-path-to-node=""5""><meta charset=""utf-8"">Whether it’s a thoughtful gift for the artist in your life or a well-deserved treat for yourself, this piece is designed for those who find beauty in the process, the palette, and the history of the craft.</p>",Georgina Westley Art & Design,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Product Type,"",true,Colour,Honey Paper,,Size,X-Small,,,,,STTU169-HOPA-XS,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/ZornSqURE.png?v=1771844141,1,"",false,,,166,,,,,,,,,,,,,,,,adults,,,vegan-friendly,honey-paper,cotton,,round,,,short,unisex,,medium,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,active
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,,,,,,,,,Honey Paper,,,Small,,,,,STTU169-HOPA-S,100.0,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,2,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,,,,,,,,,Honey Paper,,,Medium,,,,,STTU169-HOPA-M,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,,,,,,,,,Honey Paper,,,Large,,,,,STTU169-HOPA-L,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,,,,,,,,,Honey Paper,,,X-Large,,,,,STTU169-HOPA-XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,,,,,,,,,Honey Paper,,,2X-Large,,,,,STTU169-HOPA-2XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,
art-from-the-heart-t-shirt-zorn-palette-stella-stanley,,,,,,,,,Honey Paper,,,3X-Large,,,,,STTU169-HOPA-3XL,100.0,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/mockup-cabf0bcb2e722a711cf0864b36214ec8.png?v=1771844141,g,,13.13,
wuthering-heights-travel-poster-top-withens-yorkshire,"Wuthering Heights Travel Poster - Top Withens, Haworth Art Print","<h2 data-path-to-node=""4"">
<meta charset=""utf-8"">Capture the Atmosphere of the Yorkshire Moors - Wuthering Heights Gift Idea</h2>
<p data-path-to-node=""4""><b data-index-in-node=""0"" data-path-to-node=""4"">Capture the wild, atmospheric beauty of the Yorkshire Moors with this vibrant Wuthering Heights travel poster.</b></p>
<p data-path-to-node=""5"">Inspired by the haunting landscapes that fueled Emily Brontë’s imagination, this art print features the iconic <b data-index-in-node=""111"" data-path-to-node=""5"">Top Withens</b>, the ruined farmhouse near Haworth widely believed to be the inspiration for the Earnshaw home in <i data-index-in-node=""220"" data-path-to-node=""5"">Wuthering Heights</i>.</p>
<h3 data-path-to-node=""6"">Why This Print Belongs in Your Collection</h3>
<p data-path-to-node=""7"">Whether you are a lifelong literature lover or a hiker who has braved the climb from <b data-index-in-node=""85"" data-path-to-node=""7"">Haworth Main Street</b> up to the windswept moors, this piece serves as a permanent portal to that landscape. I wanted to capture the tumultous energy of the moors, the shifting light, the dramatic clouds, and the sense of isolation that makes the Brontë sisters' work so timeless.</p>
<h3 data-path-to-node=""8"">Expertly Crafted for Thoughtful Collectors</h3>
<p data-path-to-node=""9"">As with all my work, this <b data-index-in-node=""26"" data-path-to-node=""9"">Haworth-inspired art print</b> is designed to bring instant character and a pop of sophisticated colour to your home.</p>
<ul data-path-to-node=""10"">
<li>
<p data-path-to-node=""10,0,0""><b data-index-in-node=""0"" data-path-to-node=""10,0,0"">Signature Style:</b> A modern, vibrant twist on the classic vintage travel poster aesthetic.</p>
</li>
<li>
<p data-path-to-node=""10,1,0""><b data-index-in-node=""0"" data-path-to-node=""10,1,0"">Hand-Signed:</b> Each print is hand-signed by me (Georgina Westley) in pencil, ensuring you receive a piece of art that feels personal and authentic.</p>
</li>
<li>
<p data-path-to-node=""10,2,0""><b data-index-in-node=""0"" data-path-to-node=""10,2,0"">Gallery Quality:</b> I use archival matte 230gsm paper and non-fade pigment inks (Epson SureColour) to ensure your Yorkshire landscape stays as vivid as the day it arrives.</p>
</li>
</ul>
<h3 data-path-to-node=""11"">The Perfect Gift for Brontë Fans</h3>
<p data-path-to-node=""12"">Searching for a unique <b data-index-in-node=""23"" data-path-to-node=""12"">Wuthering Heights gift</b>? This poster is a thoughtful choice for birthdays, anniversaries, or housewarmings. It’s more than just wall decor; it’s a celebration of literary history and the rugged beauty of the Pennines.</p>
<h3 data-path-to-node=""13"">Easy to Frame</h3>
<p data-path-to-node=""14"">To make your life easier, I’ve designed this print in standard <b data-index-in-node=""63"" data-path-to-node=""14"">A4, A3, and A2 sizes</b>. This means you won’t need custom framing; it will drop perfectly into any standard frame from your favorite local shop.</p>
<hr data-path-to-node=""15"">
<h3 data-path-to-node=""16""><br></h3>",Georgina Westley Art Design,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Posters",Poster,"Bronte, Haworth, Literary Art, Yorkshire, Yorkshire Moors",true,Size,A4,,,,,,,,,0.0,,continue,manual,15.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/GW-Wuthering-Heights-Art-Print-Framed.jpg?v=1770484454,1,Wuthering Heights travel poster art print featuring Top Withens ruined farmhouse in Haworth by artist Georgina Westley.,false,,"Bring the Yorkshire Moors home with this vibrant Wuthering Heights art print of Top Withens, Haworth. Signed vintage style travel poster. Perfect Brontë fan gift.",500044,,,,,FALSE,,,,,,,"A must-have for Brontë lovers, this modern travel poster brings the haunting romance of Wuthering Heights and Top Withens into your home.",FALSE,,,,,,,green; grey; multicolor; blue,,,,,,,,art; nature; literature; landscape,,,haworth-travel-poster; haworth-snow-travel-poster; yorkshire-travel-art-poster; yorkshire-countryside-travel-art-print; york-travel-poster,,"Heathcliff, Cathy, Brontë, Wuthering Heights, Haworth, Top Withens, Yorkshire Moors, Literary Gift",https://cdn.shopify.com/s/files/1/0808/2738/4116/files/GW-Wuthering-Heights-Art-Print-Framed.jpg?v=1770484454,lb,,0.00,active
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,A3,,,,,,,,,0.0,,continue,manual,25.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Wuthering-Heights-Crop.jpg?v=1770484454,2,Close up detail of vibrant colours and texture on Wuthering Heights Haworth travel poster by Georgina Westley.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/GW-Wuthering-Heights-Art-Print-Framed.jpg?v=1770484454,lb,,0.00,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,A2,,,,,,,,,0.0,,continue,manual,40.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Wuthering-Heights-Copyrighted.jpg?v=1770484454,3,"Poster of 'Wuthering Heights' with a silhouette of a house and mountains, featuring the copyright symbol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/GW-Wuthering-Heights-Art-Print-Framed.jpg?v=1770484454,lb,,0.00,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Print_size_guide_A2_A3_A4_Georgina_Westley.jpg?v=1770828809,4,A handy print size guide including centimetres and inches. Scaled in proportion with the sofa to help you choose the right print for you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Postbox_with_art_prints_Georgina_Westley.jpg?v=1770828809,5,This is the post box where your prints get posted in Sandy Bedfordshire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Free_bookmark_and_gift_tag_Georgina_Westley.jpg?v=1770828809,6,Every order comes with a free bookmark and a gift tag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Free_sticker_Georgina_Westley.jpg?v=1770828809,7,Every order comes with a free sticker so you don't forget me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Write_your_gift_tag_Georgina_Westley.jpg?v=1770828809,8,I'll even write the gift tag for you if you leave a message in the notes section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Hand_signed_art_prints_Georgina_Westley.jpg?v=1770828809,9,I hand sign all my art prints in pencil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuthering-heights-travel-poster-top-withens-yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0808/2738/4116/files/Easy_to_frame_Georgina_Westley.jpg?v=1770828809,10,"My prints come in standard A4, A3 and A2 sizes which make them really easy to frame. Most high street stores sell frames to suit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
